,Bin_Value,Timestamp
0,5,05-01-2023
1,7,06-01-2023
2,5,07-01-2023
3,7,08-01-2023
4,5,09-01-2023
5,6,10-01-2023
6,5,11-01-2023
7,5,12-01-2023
8,3,13-01-2023
9,5,14-01-2023
10,2,15-01-2023
11,3,16-01-2023
12,7,17-01-2023
13,6,18-01-2023
14,5,19-01-2023
15,5,20-01-2023
16,1,21-01-2023
17,6,22-01-2023
18,5,23-01-2023
19,3,24-01-2023
20,6,25-01-2023
21,3,26-01-2023
22,3,27-01-2023
23,3,28-01-2023
24,5,29-01-2023
25,7,30-01-2023
26,5,31-01-2023
27,3,01-02-2023
28,8,02-02-2023
29,6,03-02-2023
30,4,04-02-2023
31,5,05-02-2023
32,2,06-02-2023
33,2,07-02-2023
34,4,08-02-2023
35,5,09-02-2023
36,3,10-02-2023
37,7,11-02-2023
38,2,12-02-2023
39,6,13-02-2023
40,5,14-02-2023
41,5,15-02-2023
42,9,16-02-2023
43,4,17-02-2023
44,5,18-02-2023
45,7,19-02-2023
46,10,20-02-2023
47,5,21-02-2023
48,5,22-02-2023
49,1,23-02-2023
50,5,24-02-2023
51,4,25-02-2023
52,6,26-02-2023
53,5,27-02-2023
54,8,28-02-2023
55,4,01-03-2023
56,5,02-03-2023
57,1,03-03-2023
58,2,04-03-2023
59,3,05-03-2023
60,4,06-03-2023
61,5,07-03-2023
62,5,08-03-2023
63,5,09-03-2023
64,7,10-03-2023
65,3,11-03-2023
66,3,12-03-2023
67,5,13-03-2023
68,4,14-03-2023
69,4,15-03-2023
70,2,16-03-2023
71,3,17-03-2023
72,5,18-03-2023
73,5,19-03-2023
74,5,20-03-2023
75,4,21-03-2023
76,3,22-03-2023
77,4,23-03-2023
78,5,24-03-2023
79,6,25-03-2023
80,4,26-03-2023
81,6,27-03-2023
82,9,28-03-2023
83,5,29-03-2023
84,2,30-03-2023
85,6,31-03-2023
86,5,01-04-2023
87,7,02-04-2023
88,7,03-04-2023
89,5,04-04-2023
90,3,05-04-2023
91,8,06-04-2023
92,4,07-04-2023
93,6,08-04-2023
94,3,09-04-2023
95,6,10-04-2023
96,8,11-04-2023
97,4,12-04-2023
98,8,13-04-2023
99,6,14-04-2023
100,3,15-04-2023
